 12.70	  6.50	  1.00
 14.20	  6.50	  1.00
 16.40	  6.50	  1.00
 16.50	  6.50	  1.00
 17.90	  6.50	  1.00
 22.90	  6.50	  1.00
 26.70	  6.50	  1.00
 30.80	  6.50	  1.00
 31.80	  6.50	  1.00
 33.20	  6.50	  1.00
 33.40	  6.50	  1.00
 34.10	  6.50	  1.00
 34.70	  6.50	  1.00
 12.50	  6.60	  1.00
 13.40	  6.60	  1.00
 14.80	  6.60	  1.00
 19.00	  6.60	  1.00
 20.40	  6.60	  1.00
 21.70	  6.60	  1.00
 24.10	  6.60	  1.00
 24.40	  6.60	  1.00
 27.10	  6.60	  1.00
 27.50	  6.60	  1.00
 28.60	  6.60	  1.00
 29.30	  6.60	  1.00
 30.00	  6.60	  1.00
 36.60	  6.60	  1.00
 11.40	  6.70	  1.00
 12.50	  6.70	  1.00
 12.70	  6.70	  1.00
 13.70	  6.70	  1.00
 23.50	  6.70	  1.00
 24.50	  6.70	  1.00
 24.80	  6.70	  1.00
 26.20	  6.70	  1.00
 27.20	  6.70	  1.00
 27.90	  6.70	  1.00
 29.00	  6.70	  1.00
 32.30	  6.70	  1.00
 33.90	  6.70	  1.00
 35.10	  6.70	  1.00
 35.80	  6.70	  1.00
 36.30	  6.70	  1.00
 12.10	  6.80	  1.00
 12.30	  6.80	  1.00
 14.80	  6.80	  1.00
 18.70	  6.80	  1.00
 20.20	  6.80	  1.00
 21.50	  6.80	  1.00
 24.00	  6.80	  1.00
 24.10	  6.80	  1.00
 27.00	  6.80	  1.00
 27.60	  6.80	  1.00
 29.90	  6.80	  1.00
 30.10	  6.80	  1.00
 30.70	  6.80	  1.00
 32.60	  6.80	  1.00
 35.60	  6.80	  1.00
 11.00	  6.90	  1.00
 11.30	  6.90	  1.00
 13.50	  6.90	  1.00
 15.10	  6.90	  1.00
 17.00	  6.90	  1.00
 17.90	  6.90	  1.00
 21.40	  6.90	  1.00
 28.20	  6.90	  1.00
 29.30	  6.90	  1.00
 31.20	  6.90	  1.00
 32.70	  6.90	  1.00
 34.40	  6.90	  1.00
 12.00	  7.00	  1.00
 14.80	  7.00	  1.00
 16.00	  7.00	  1.00
 16.30	  7.00	  1.00
 20.90	  7.00	  1.00
 21.40	  7.00	  1.00
 22.30	  7.00	  1.00
 23.60	  7.00	  1.00
 23.70	  7.00	  1.00
 23.80	  7.00	  1.00
 29.90	  7.00	  1.00
 31.70	  7.00	  1.00
 35.50	  7.00	  1.00
 36.10	  7.00	  1.00
 36.70	  7.00	  1.00
 11.30	  7.10	  1.00
 14.70	  7.10	  1.00
 17.80	  7.10	  1.00
 19.30	  7.10	  1.00
 20.50	  7.10	  1.00
 22.40	  7.10	  1.00
 25.10	  7.10	  1.00
 28.30	  7.10	  1.00
 30.50	  7.10	  1.00
 30.90	  7.10	  1.00
 33.70	  7.10	  1.00
 34.50	  7.10	  1.00
 34.80	  7.10	  1.00
 35.10	  7.10	  1.00
 13.30	  7.20	  1.00
 14.90	  7.20	  1.00
 23.70	  7.20	  1.00
 24.00	  7.20	  1.00
 24.20	  7.20	  1.00
 25.30	  7.20	  1.00
 27.60	  7.20	  1.00
 31.10	  7.20	  1.00
 12.00	 11.40	  2.00
 15.00	 11.40	  2.00
 15.20	 11.40	  2.00
 16.10	 11.40	  2.00
 17.40	 11.40	  2.00
 18.70	 11.40	  2.00
 19.70	 11.40	  2.00
 28.60	 11.40	  2.00
 29.30	 11.40	  2.00
 29.40	 11.40	  2.00
 33.10	 11.40	  2.00
 35.30	 11.40	  2.00
 36.70	 11.40	  2.00
 10.50	 11.50	  2.00
 11.00	 11.50	  2.00
 14.50	 11.50	  2.00
 14.70	 11.50	  2.00
